,period,start,end,objective,objective_value,param.strategy.window,param.efficiency,stat.pnl,stat.traded_notional,stat.n_fills,stat.cagr,stat.efficiency,stat.final_equity,stat.max_drawdown
0,Pre-2008 (2005-2007),2005-01-01,2007-12-31,pnl,0,30,0.7369577221582455,0,0,0,0,1,100000,
1,Crise (2008-2009),2008-01-01,2009-12-31,pnl,0,200,1,0,0,0,0,1,100000,
2,Mid-crisis recovery (2010),2010-01-01,2010-12-31,pnl,0,10,0.026229865870258055,0,0,0,0,1,100000,
3,Primtemps arabe / Eurozone (2011-2013),2011-01-01,2013-12-31,pnl,0,300,-0.16037993482803853,0,0,0,0,1,100000,
4,Normalization (2014-2019),2014-01-01,2019-12-31,pnl,0,15,0.5565199829616704,0,0,0,0,1,100000,
5,COVID shock (2020),2020-01-01,2020-12-31,pnl,0,50,0.08100897470160552,0,0,0,0,1,100000,
6,Inflation / rates shock (2022-mid2023),2022-01-01,2023-06-01,pnl,0,100,1,0,0,0,0,1,100000,
7,Post-2024 (2024-06-25+),2023-06-02,2025-12-31,pnl,0,10,0.15901116762943204,0,0,0,0,1,100000,
8,IAM — Etisalat control transition (2013-2015),2013-01-01,2015-12-31,pnl,0,100,0.1440807130516421,0,0,0,0,1,100000,
9,IAM — Affaire Inwi (2024-01-29 to 2025-03-01),2024-01-29,2025-03-01,pnl,0,200,0.19720700509402603,0,0,0,0,1,100000,
10,IAM — Changement Leadership (2025-03-01+),2025-03-01,2026-12-31,pnl,0,20,1,0,0,0,0,1,100000,
